,RVSM,DNN
top_1_accuracy,0.30864197530864196,0.46973803071364045
top_5_accuracy,0.680517916290274,0.7563986750978621
top_10_accuracy,0.8383017163504969,0.8614875037639266
map,0.4729541256218268,0.5999589114934439
mrr,0.4729541256218268,0.5999616054272354
